question,category,job_role,difficulty,expected_keywords,reference_answer
What is the difference between a list and a tuple in Python?,Technical,Python Developer,Easy,"mutable,immutable,list,tuple,ordered","Lists are mutable and can be changed after creation, while tuples are immutable and cannot be modified once created. Both are ordered collections."
Explain how Python's garbage collection works.,Technical,Python Developer,Medium,"reference counting,garbage collector,cyclic,memory","Python primarily uses reference counting to manage memory, and a cyclic garbage collector to detect and clean up reference cycles that reference counting alone cannot handle."
What are Python decorators and when would you use one?,Technical,Python Developer,Medium,"decorator,function,wrapper,higher-order","A decorator is a function that wraps another function to extend its behavior without modifying its source code, commonly used for logging, timing, or access control."
What is the Global Interpreter Lock (GIL)?,Technical,Python Developer,Hard,"GIL,thread,lock,single,bytecode","The GIL is a mutex that allows only one thread to execute Python bytecode at a time, which limits true parallelism in multi-threaded CPU-bound programs."
How do you handle exceptions in Python?,Technical,Python Developer,Easy,"try,except,finally,exception","Python uses try/except blocks to catch exceptions, with an optional finally block that always executes, and can raise custom exceptions when needed."
What is the difference between supervised and unsupervised learning?,Technical,Data Analyst,Easy,"labeled,unlabeled,supervised,unsupervised,target","Supervised learning uses labeled data with a known target variable, while unsupervised learning finds patterns in unlabeled data without predefined outputs."
Explain the difference between a left join and an inner join in SQL.,Technical,Data Analyst,Medium,"join,left,inner,matching,null","An inner join returns only matching rows between two tables, while a left join returns all rows from the left table plus matching rows from the right, with nulls where there is no match."
What is the purpose of normalization in a database?,Technical,Data Analyst,Medium,"normalization,redundancy,integrity,tables","Normalization organizes data to reduce redundancy and improve data integrity by splitting data into related tables based on defined rules."
How would you handle missing data in a dataset?,Technical,Data Analyst,Medium,"missing,imputation,drop,mean,median","Missing data can be handled by dropping rows or columns, imputing values using mean, median, or mode, or using more advanced imputation techniques depending on context."
What is a p-value and how do you interpret it?,Technical,Data Analyst,Hard,"p-value,significance,hypothesis,null","A p-value indicates the probability of observing results as extreme as the current data, assuming the null hypothesis is true; a low p-value suggests evidence against the null hypothesis."
Tell me about yourself.,HR,HR Interview,Easy,"experience,background,skills,goals","A strong answer briefly covers relevant background, key skills, and career goals in a way that connects to the role being applied for."
Why do you want to work with our company?,HR,HR Interview,Easy,"company,values,role,growth","A good answer references specific knowledge of the company's mission or products and connects it to personal career growth and values alignment."
Describe a time you faced a conflict at work and how you resolved it.,HR,HR Interview,Medium,"conflict,communication,resolution,teamwork","A strong answer uses a specific example, describes the conflict clearly, explains the communication approach taken, and states the positive outcome."
What are your greatest strengths and weaknesses?,HR,HR Interview,Easy,"strength,weakness,improvement,self-aware","A good answer gives a genuine strength relevant to the role, and a real weakness paired with a concrete action being taken to improve it."
Where do you see yourself in five years?,HR,HR Interview,Medium,"career,growth,goals,future","A strong answer shows realistic ambition aligned with the company's growth path, showing both self-awareness and long-term commitment."
